Lead_Source,Country,Age,Gender,Education_Level,Occupation,Industry,Income,Initial_Response,Do_Not_Contact,Total_Calls_Attended,Total_Meetings_Attended,General_Knowledge,Business_Knowledge,Company_Size,Company_Estimated_Revenue,Lead_Quality,Lead_Score
REFERRAL,Japan,54,OTHER,BACHELOR,RETIRED,SERVICES,145000,POSITIVE,No,6,2,INTERMEDIATE,NOVICE,MEDIUM,4465000,HOT,95
INBOUND,UK,36,FEMALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,135000,NEUTRAL,No,5,3,ADVANCED,ADVANCED,LARGE,3894000,WARM,82
INBOUND,UK,40,FEMALE,BACHELOR,SELF-EMPLOYED,RETAIL,166000,POSITIVE,No,3,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,5983000,HOT,97
PAID,USA,42,FEMALE,COLLEGE,SELF-EMPLOYED,SERVICES,161000,POSITIVE,No,7,3,INTERMEDIATE,ADVANCED,MEDIUM,4031000,HOT,98
INBOUND,Canada,59,OTHER,BACHELOR,BUSINESSMAN,RETAIL,197000,NEUTRAL,No,4,2,ADVANCED,NOVICE,MEDIUM,9951000,WARM,78
PAID,Canada,43,MALE,COLLEGE,BUSINESSMAN,SERVICES,159000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,LARGE,6995000,HOT,86
REFERRAL,Australia,57,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,120000,POSITIVE,No,5,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,4327000,HOT,96
INBOUND,USA,57,FEMALE,COLLEGE,SELF-EMPLOYED,RETAIL,142000,NEUTRAL,No,4,3,ADVANCED,NOVICE,MEDIUM,5353000,WARM,85
PAID,Japan,44,FEMALE,COLLEGE,SELF-EMPLOYED,RETAIL,126000,POSITIVE,No,3,3,ADVANCED,INTERMEDIATE,LARGE,9076000,HOT,86
REFERRAL,UK,57,FEMALE,HIGH SCHOOL,RETIRED,RETAIL,116000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,3934000,HOT,91
INBOUND,Australia,38,OTHER,COLLEGE,SELF-EMPLOYED,SERVICES,112000,POSITIVE,No,3,2,ADVANCED,NOVICE,MEDIUM,8401000,HOT,99
INBOUND,Japan,54,MALE,COLLEGE,BUSINESSMAN,SERVICES,152000,POSITIVE,No,6,2,ADVANCED,NOVICE,LARGE,8628000,HOT,86
REFERRAL,UK,50,OTHER,COLLEGE,RETIRED,SERVICES,162000,POSITIVE,No,5,2,NOVICE,INTERMEDIATE,MEDIUM,1154000,WARM,83
PAID,USA,35,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,146000,POSITIVE,No,7,2,INTERMEDIATE,INTERMEDIATE,LARGE,1130000,HOT,95
INBOUND,Japan,43,MALE,COLLEGE,SELF-EMPLOYED,SERVICES,115000,POSITIVE,No,6,2,ADVANCED,INTERMEDIATE,MEDIUM,1536000,HOT,98
PAID,Australia,38,OTHER,COLLEGE,SELF-EMPLOYED,MANUFACTURING,131000,POSITIVE,No,7,3,INTERMEDIATE,NOVICE,MEDIUM,3121000,HOT,93
PAID,USA,52,MALE,COLLEGE,RETIRED,SERVICES,145000,POSITIVE,No,7,3,INTERMEDIATE,ADVANCED,MEDIUM,9410000,HOT,88
REFERRAL,UK,42,OTHER,BACHELOR,RETIRED,MANUFACTURING,171000,NEUTRAL,No,3,2,ADVANCED,NOVICE,MEDIUM,4017000,HOT,85
PAID,Australia,36,FEMALE,COLLEGE,SELF-EMPLOYED,MANUFACTURING,110000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,1546000,HOT,87
REFERRAL,Australia,48,FEMALE,BACHELOR,BUSINESSMAN,RETAIL,186000,NEUTRAL,No,3,2,ADVANCED,INTERMEDIATE,MEDIUM,6391000,WARM,83
INBOUND,Canada,45,MALE,BACHELOR,BUSINESSMAN,RETAIL,196000,POSITIVE,No,5,3,ADVANCED,INTERMEDIATE,MEDIUM,7008000,HOT,93
PAID,Australia,48,MALE,COLLEGE,BUSINESSMAN,SERVICES,173000,NEUTRAL,No,7,3,ADVANCED,INTERMEDIATE,LARGE,8106000,WARM,77
REFERRAL,USA,36,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,175000,POSITIVE,No,5,2,ADVANCED,ADVANCED,LARGE,1260000,WARM,85
PAID,Japan,38,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,101000,POSITIVE,No,7,3,ADVANCED,NOVICE,MEDIUM,1490000,WARM,85
REFERRAL,USA,55,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,172000,NEUTRAL,No,5,2,INTERMEDIATE,NOVICE,MEDIUM,9773000,HOT,78
REFERRAL,USA,54,MALE,BACHELOR,RETIRED,SERVICES,194000,POSITIVE,No,7,3,INTERMEDIATE,NOVICE,MEDIUM,7797000,HOT,88
PAID,Australia,55,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,115000,POSITIVE,No,5,2,ADVANCED,NOVICE,MEDIUM,8966000,HOT,86
REFERRAL,UK,44,FEMALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,129000,POSITIVE,No,6,3,NOVICE,NOVICE,MEDIUM,3875000,HOT,79
PAID,Japan,49,MALE,HIGH SCHOOL,RETIRED,MANUFACTURING,122000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,LARGE,6399000,HOT,99
INBOUND,UK,40,FEMALE,HIGH SCHOOL,RETIRED,SERVICES,161000,POSITIVE,No,5,3,ADVANCED,NOVICE,MEDIUM,6675000,HOT,89
INBOUND,UK,45,MALE,COLLEGE,BUSINESSMAN,RETAIL,169000,POSITIVE,No,5,2,NOVICE,INTERMEDIATE,LARGE,4111000,WARM,83
INBOUND,Canada,35,OTHER,HIGH SCHOOL,RETIRED,SERVICES,130000,POSITIVE,No,3,3,INTERMEDIATE,ADVANCED,MEDIUM,4568000,HOT,88
INBOUND,USA,35,FEMALE,HIGH SCHOOL,RETIRED,MANUFACTURING,115000,POSITIVE,No,5,3,ADVANCED,NOVICE,LARGE,7713000,WARM,79
REFERRAL,USA,50,MALE,HIGH SCHOOL,RETIRED,SERVICES,129000,NEUTRAL,No,5,2,INTERMEDIATE,ADVANCED,LARGE,7677000,WARM,84
INBOUND,Canada,40,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,171000,POSITIVE,No,3,2,NOVICE,NOVICE,LARGE,6213000,HOT,94
REFERRAL,Australia,53,MALE,BACHELOR,BUSINESSMAN,SERVICES,168000,POSITIVE,No,5,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,7037000,HOT,98
INBOUND,Japan,35,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,190000,POSITIVE,No,7,3,ADVANCED,ADVANCED,MEDIUM,5811000,HOT,90
PAID,USA,47,MALE,HIGH SCHOOL,RETIRED,MANUFACTURING,151000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,8016000,HOT,88
INBOUND,UK,39,MALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,187000,POSITIVE,No,7,2,ADVANCED,INTERMEDIATE,MEDIUM,2345000,HOT,87
INBOUND,Japan,55,OTHER,HIGH SCHOOL,RETIRED,SERVICES,111000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,4248000,HOT,86
REFERRAL,Australia,48,FEMALE,HIGH SCHOOL,RETIRED,SERVICES,168000,NEUTRAL,No,3,2,NOVICE,INTERMEDIATE,MEDIUM,2578000,HOT,77
INBOUND,UK,48,FEMALE,HIGH SCHOOL,RETIRED,MANUFACTURING,159000,POSITIVE,No,5,2,NOVICE,INTERMEDIATE,MEDIUM,2168000,HOT,81
INBOUND,UK,46,FEMALE,BACHELOR,RETIRED,RETAIL,172000,POSITIVE,No,4,3,NOVICE,ADVANCED,MEDIUM,8878000,HOT,89
REFERRAL,Canada,58,OTHER,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,132000,POSITIVE,No,6,2,ADVANCED,ADVANCED,LARGE,3356000,HOT,89
REFERRAL,Japan,58,FEMALE,COLLEGE,SELF-EMPLOYED,RETAIL,108000,POSITIVE,No,4,2,NOVICE,ADVANCED,MEDIUM,8571000,HOT,80
INBOUND,UK,40,FEMALE,COLLEGE,RETIRED,MANUFACTURING,146000,POSITIVE,No,3,3,INTERMEDIATE,NOVICE,LARGE,8559000,HOT,91
REFERRAL,UK,51,OTHER,BACHELOR,BUSINESSMAN,SERVICES,152000,POSITIVE,No,7,3,NOVICE,INTERMEDIATE,MEDIUM,3321000,HOT,97
INBOUND,USA,52,FEMALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,186000,NEUTRAL,No,7,3,INTERMEDIATE,ADVANCED,MEDIUM,5068000,HOT,84
PAID,Japan,53,FEMALE,COLLEGE,BUSINESSMAN,MANUFACTURING,134000,POSITIVE,No,7,2,INTERMEDIATE,ADVANCED,MEDIUM,9293000,WARM,84
REFERRAL,Japan,53,MALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,101000,POSITIVE,No,7,3,NOVICE,INTERMEDIATE,MEDIUM,7878000,HOT,86
REFERRAL,Japan,41,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,157000,POSITIVE,No,4,2,ADVANCED,ADVANCED,LARGE,8154000,HOT,95
PAID,Australia,53,FEMALE,COLLEGE,RETIRED,RETAIL,139000,POSITIVE,No,5,2,NOVICE,ADVANCED,MEDIUM,5711000,HOT,96
REFERRAL,USA,38,FEMALE,BACHELOR,RETIRED,MANUFACTURING,186000,POSITIVE,No,3,2,ADVANCED,ADVANCED,MEDIUM,7319000,HOT,99
INBOUND,USA,50,OTHER,BACHELOR,RETIRED,SERVICES,171000,POSITIVE,No,3,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,9910000,HOT,96
REFERRAL,Japan,56,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,134000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,MEDIUM,2500000,WARM,75
INBOUND,USA,57,MALE,COLLEGE,BUSINESSMAN,RETAIL,128000,POSITIVE,No,5,3,NOVICE,NOVICE,MEDIUM,6158000,HOT,87
REFERRAL,USA,48,OTHER,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,175000,POSITIVE,No,7,3,INTERMEDIATE,INTERMEDIATE,LARGE,2083000,HOT,99
REFERRAL,Canada,54,FEMALE,COLLEGE,SELF-EMPLOYED,RETAIL,152000,POSITIVE,No,7,2,ADVANCED,NOVICE,LARGE,7421000,HOT,79
REFERRAL,Japan,58,FEMALE,BACHELOR,BUSINESSMAN,MANUFACTURING,117000,POSITIVE,No,6,2,ADVANCED,INTERMEDIATE,LARGE,6712000,HOT,86
REFERRAL,Japan,36,OTHER,COLLEGE,SELF-EMPLOYED,MANUFACTURING,186000,NEUTRAL,No,5,2,INTERMEDIATE,INTERMEDIATE,LARGE,9212000,HOT,80
INBOUND,Canada,44,MALE,COLLEGE,BUSINESSMAN,RETAIL,144000,POSITIVE,No,4,2,NOVICE,INTERMEDIATE,MEDIUM,9919000,HOT,86
PAID,USA,41,MALE,BACHELOR,RETIRED,RETAIL,111000,POSITIVE,No,4,3,ADVANCED,ADVANCED,MEDIUM,2914000,HOT,98
INBOUND,Australia,41,FEMALE,BACHELOR,BUSINESSMAN,RETAIL,162000,POSITIVE,No,6,3,NOVICE,NOVICE,MEDIUM,2246000,HOT,99
REFERRAL,Japan,38,FEMALE,HIGH SCHOOL,RETIRED,RETAIL,161000,POSITIVE,No,6,3,ADVANCED,INTERMEDIATE,LARGE,1448000,HOT,75
INBOUND,UK,35,OTHER,BACHELOR,RETIRED,MANUFACTURING,135000,POSITIVE,No,4,2,NOVICE,NOVICE,MEDIUM,4413000,HOT,79
REFERRAL,Australia,59,MALE,COLLEGE,BUSINESSMAN,MANUFACTURING,169000,POSITIVE,No,6,2,ADVANCED,ADVANCED,LARGE,7550000,HOT,86
PAID,UK,53,OTHER,BACHELOR,RETIRED,RETAIL,140000,POSITIVE,No,6,3,NOVICE,INTERMEDIATE,LARGE,5322000,HOT,87
PAID,UK,35,MALE,COLLEGE,SELF-EMPLOYED,RETAIL,108000,NEUTRAL,No,4,3,INTERMEDIATE,ADVANCED,MEDIUM,4209000,HOT,77
REFERRAL,Canada,57,OTHER,COLLEGE,BUSINESSMAN,RETAIL,142000,POSITIVE,No,3,2,NOVICE,NOVICE,MEDIUM,6771000,HOT,96
PAID,Canada,48,OTHER,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,148000,POSITIVE,No,3,3,INTERMEDIATE,ADVANCED,MEDIUM,2978000,HOT,88
INBOUND,USA,41,OTHER,COLLEGE,SELF-EMPLOYED,MANUFACTURING,164000,POSITIVE,No,5,3,ADVANCED,NOVICE,MEDIUM,2002000,HOT,90
PAID,USA,46,OTHER,BACHELOR,BUSINESSMAN,SERVICES,170000,POSITIVE,No,6,3,INTERMEDIATE,NOVICE,LARGE,7409000,WARM,79
REFERRAL,Australia,43,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,124000,POSITIVE,No,4,3,NOVICE,NOVICE,LARGE,5502000,HOT,82
REFERRAL,Australia,47,MALE,COLLEGE,BUSINESSMAN,SERVICES,106000,POSITIVE,No,3,3,NOVICE,NOVICE,LARGE,2443000,WARM,83
PAID,Japan,38,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,115000,NEUTRAL,No,4,2,NOVICE,INTERMEDIATE,MEDIUM,7580000,WARM,82
PAID,USA,42,FEMALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,110000,NEUTRAL,No,6,3,ADVANCED,INTERMEDIATE,LARGE,6239000,HOT,79
REFERRAL,Japan,36,OTHER,COLLEGE,BUSINESSMAN,RETAIL,150000,NEUTRAL,No,3,3,NOVICE,INTERMEDIATE,MEDIUM,1318000,WARM,75
INBOUND,Australia,45,MALE,BACHELOR,SELF-EMPLOYED,SERVICES,152000,POSITIVE,No,5,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,9514000,HOT,89
PAID,Australia,35,OTHER,COLLEGE,BUSINESSMAN,RETAIL,170000,POSITIVE,No,3,2,INTERMEDIATE,ADVANCED,LARGE,5682000,WARM,75
REFERRAL,UK,48,FEMALE,COLLEGE,SELF-EMPLOYED,SERVICES,173000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,LARGE,7097000,HOT,89
INBOUND,Canada,46,MALE,BACHELOR,RETIRED,RETAIL,183000,POSITIVE,No,6,3,INTERMEDIATE,NOVICE,MEDIUM,6590000,HOT,94
PAID,UK,35,MALE,COLLEGE,BUSINESSMAN,MANUFACTURING,141000,NEUTRAL,No,7,3,NOVICE,ADVANCED,MEDIUM,7202000,HOT,75
REFERRAL,Australia,56,MALE,COLLEGE,SELF-EMPLOYED,SERVICES,146000,POSITIVE,No,5,3,NOVICE,ADVANCED,MEDIUM,6446000,HOT,87
INBOUND,USA,50,MALE,BACHELOR,SELF-EMPLOYED,SERVICES,197000,POSITIVE,No,6,2,ADVANCED,NOVICE,LARGE,1806000,HOT,84
PAID,USA,50,FEMALE,HIGH SCHOOL,RETIRED,SERVICES,119000,POSITIVE,No,6,3,INTERMEDIATE,ADVANCED,LARGE,8535000,HOT,75
PAID,Australia,55,OTHER,BACHELOR,BUSINESSMAN,RETAIL,132000,POSITIVE,No,6,3,INTERMEDIATE,ADVANCED,MEDIUM,9475000,HOT,79
PAID,Japan,46,OTHER,COLLEGE,SELF-EMPLOYED,MANUFACTURING,112000,POSITIVE,No,5,3,NOVICE,INTERMEDIATE,MEDIUM,7512000,HOT,96
PAID,Australia,36,FEMALE,BACHELOR,SELF-EMPLOYED,RETAIL,191000,POSITIVE,No,3,2,ADVANCED,INTERMEDIATE,LARGE,7115000,WARM,79
REFERRAL,Canada,39,FEMALE,HIGH SCHOOL,RETIRED,RETAIL,162000,POSITIVE,No,4,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,5170000,HOT,94
INBOUND,USA,54,MALE,COLLEGE,BUSINESSMAN,RETAIL,124000,POSITIVE,No,7,3,NOVICE,INTERMEDIATE,LARGE,4947000,HOT,89
PAID,Canada,57,OTHER,COLLEGE,SELF-EMPLOYED,SERVICES,172000,POSITIVE,No,6,3,NOVICE,INTERMEDIATE,LARGE,1463000,HOT,90
PAID,Japan,57,OTHER,COLLEGE,BUSINESSMAN,MANUFACTURING,116000,POSITIVE,No,7,3,NOVICE,NOVICE,MEDIUM,5022000,HOT,97
INBOUND,USA,54,MALE,BACHELOR,SELF-EMPLOYED,SERVICES,151000,POSITIVE,No,5,3,NOVICE,NOVICE,LARGE,5994000,HOT,96
INBOUND,USA,36,OTHER,BACHELOR,RETIRED,RETAIL,165000,POSITIVE,No,3,2,ADVANCED,ADVANCED,MEDIUM,3879000,HOT,93
REFERRAL,USA,56,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,150000,POSITIVE,No,7,3,ADVANCED,NOVICE,MEDIUM,4099000,HOT,93
INBOUND,USA,56,OTHER,BACHELOR,RETIRED,SERVICES,111000,POSITIVE,No,3,2,INTERMEDIATE,INTERMEDIATE,LARGE,8176000,HOT,97
INBOUND,Japan,37,FEMALE,HIGH SCHOOL,BUSINESSMAN,RETAIL,196000,POSITIVE,No,3,3,INTERMEDIATE,ADVANCED,LARGE,6813000,HOT,92
REFERRAL,Australia,36,OTHER,BACHELOR,BUSINESSMAN,RETAIL,132000,POSITIVE,No,3,2,ADVANCED,INTERMEDIATE,MEDIUM,4249000,HOT,87
REFERRAL,USA,56,MALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,199000,POSITIVE,No,7,2,NOVICE,NOVICE,LARGE,8796000,HOT,89
REFERRAL,USA,37,MALE,BACHELOR,BUSINESSMAN,MANUFACTURING,135000,NEUTRAL,No,4,3,NOVICE,INTERMEDIATE,MEDIUM,4118000,HOT,80
INBOUND,UK,37,OTHER,COLLEGE,RETIRED,MANUFACTURING,112000,POSITIVE,No,5,2,INTERMEDIATE,NOVICE,MEDIUM,4352000,HOT,90
INBOUND,Canada,50,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,105000,POSITIVE,No,7,2,ADVANCED,INTERMEDIATE,MEDIUM,5257000,HOT,92
REFERRAL,Canada,59,OTHER,HIGH SCHOOL,BUSINESSMAN,RETAIL,162000,POSITIVE,No,7,2,ADVANCED,NOVICE,MEDIUM,4393000,WARM,76
INBOUND,Canada,47,MALE,COLLEGE,SELF-EMPLOYED,RETAIL,177000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,6618000,HOT,94
INBOUND,USA,39,FEMALE,COLLEGE,RETIRED,SERVICES,136000,POSITIVE,No,3,3,NOVICE,NOVICE,MEDIUM,8176000,HOT,88
PAID,Japan,49,OTHER,BACHELOR,BUSINESSMAN,RETAIL,186000,POSITIVE,No,5,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,8329000,HOT,96
PAID,Australia,43,MALE,COLLEGE,BUSINESSMAN,RETAIL,146000,POSITIVE,No,4,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,8735000,HOT,90
INBOUND,Australia,49,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,135000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,LARGE,9143000,HOT,75
REFERRAL,Canada,48,OTHER,BACHELOR,BUSINESSMAN,RETAIL,155000,POSITIVE,No,6,2,NOVICE,INTERMEDIATE,MEDIUM,3544000,WARM,75
INBOUND,Australia,58,MALE,COLLEGE,RETIRED,RETAIL,119000,POSITIVE,No,4,2,INTERMEDIATE,ADVANCED,LARGE,2945000,HOT,95
