Lead_Source,Country,Age,Gender,Education_Level,Occupation,Industry,Income,Initial_Response,Do_Not_Contact,Total_Calls_Attended,Total_Meetings_Attended,General_Knowledge,Business_Knowledge,Company_Size,Company_Estimated_Revenue,Lead_Quality,Lead_Score
PAID,Japan,50,OTHER,BACHELOR,RETIRED,SERVICES,196000,POSITIVE,No,7,3,INTERMEDIATE,NOVICE,MEDIUM,5216000,HOT,95
PAID,Japan,45,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,150000,POSITIVE,No,5,2,NOVICE,ADVANCED,LARGE,8789000,HOT,98
INBOUND,Canada,52,MALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,166000,POSITIVE,No,5,2,INTERMEDIATE,INTERMEDIATE,LARGE,8281000,HOT,81
PAID,USA,48,MALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,107000,POSITIVE,No,5,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,8502000,HOT,87
INBOUND,Japan,46,OTHER,BACHELOR,RETIRED,MANUFACTURING,176000,POSITIVE,No,5,2,ADVANCED,INTERMEDIATE,LARGE,5329000,HOT,96
INBOUND,UK,50,FEMALE,BACHELOR,RETIRED,MANUFACTURING,120000,POSITIVE,No,3,2,INTERMEDIATE,NOVICE,MEDIUM,1506000,HOT,84
PAID,Canada,52,OTHER,BACHELOR,BUSINESSMAN,RETAIL,192000,POSITIVE,No,4,2,NOVICE,ADVANCED,MEDIUM,9264000,HOT,90
INBOUND,Canada,54,MALE,BACHELOR,BUSINESSMAN,SERVICES,119000,POSITIVE,No,3,3,NOVICE,ADVANCED,MEDIUM,5852000,HOT,75
INBOUND,Australia,46,OTHER,COLLEGE,RETIRED,RETAIL,120000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,LARGE,5200000,HOT,87
PAID,Japan,57,OTHER,BACHELOR,RETIRED,RETAIL,110000,POSITIVE,No,6,2,NOVICE,NOVICE,LARGE,3525000,HOT,95
REFERRAL,Japan,56,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,131000,POSITIVE,No,3,2,ADVANCED,ADVANCED,MEDIUM,4140000,HOT,91
REFERRAL,USA,46,MALE,BACHELOR,RETIRED,SERVICES,187000,POSITIVE,No,5,3,ADVANCED,INTERMEDIATE,LARGE,4454000,HOT,87
PAID,Australia,51,OTHER,HIGH SCHOOL,RETIRED,SERVICES,164000,POSITIVE,No,5,2,ADVANCED,NOVICE,MEDIUM,5819000,HOT,87
PAID,USA,54,FEMALE,HIGH SCHOOL,RETIRED,SERVICES,104000,POSITIVE,No,7,2,ADVANCED,ADVANCED,MEDIUM,3386000,HOT,94
INBOUND,Canada,56,OTHER,BACHELOR,RETIRED,SERVICES,130000,POSITIVE,No,4,2,NOVICE,INTERMEDIATE,LARGE,4428000,WARM,82
INBOUND,Canada,56,MALE,BACHELOR,SELF-EMPLOYED,MANUFACTURING,174000,POSITIVE,No,3,2,ADVANCED,NOVICE,MEDIUM,9332000,HOT,85
INBOUND,Japan,59,MALE,BACHELOR,SELF-EMPLOYED,MANUFACTURING,159000,POSITIVE,No,7,3,INTERMEDIATE,ADVANCED,MEDIUM,4392000,HOT,94
PAID,Canada,56,OTHER,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,188000,POSITIVE,No,4,3,ADVANCED,NOVICE,MEDIUM,5536000,HOT,88
REFERRAL,UK,48,MALE,HIGH SCHOOL,RETIRED,SERVICES,119000,POSITIVE,No,4,3,ADVANCED,INTERMEDIATE,MEDIUM,7630000,WARM,79
PAID,Japan,46,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,199000,POSITIVE,No,6,2,NOVICE,INTERMEDIATE,LARGE,2567000,HOT,84
INBOUND,UK,45,MALE,COLLEGE,RETIRED,RETAIL,161000,POSITIVE,No,4,3,ADVANCED,INTERMEDIATE,LARGE,1495000,HOT,97
REFERRAL,USA,54,OTHER,BACHELOR,BUSINESSMAN,SERVICES,103000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,LARGE,6829000,WARM,82
INBOUND,Australia,57,OTHER,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,138000,POSITIVE,No,7,2,INTERMEDIATE,ADVANCED,LARGE,8021000,WARM,75
PAID,UK,49,OTHER,HIGH SCHOOL,RETIRED,RETAIL,164000,POSITIVE,No,5,2,NOVICE,ADVANCED,MEDIUM,6777000,WARM,83
PAID,Canada,59,FEMALE,COLLEGE,RETIRED,SERVICES,113000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,9269000,HOT,89
REFERRAL,Australia,56,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,180000,POSITIVE,No,3,2,NOVICE,ADVANCED,LARGE,3655000,HOT,79
INBOUND,Canada,55,OTHER,HIGH SCHOOL,BUSINESSMAN,RETAIL,126000,POSITIVE,No,6,3,ADVANCED,INTERMEDIATE,MEDIUM,3936000,WARM,75
PAID,UK,49,MALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,182000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,LARGE,2701000,HOT,76
INBOUND,Japan,52,MALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,117000,POSITIVE,No,4,3,INTERMEDIATE,ADVANCED,LARGE,3298000,HOT,93
PAID,UK,48,MALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,106000,POSITIVE,No,5,3,NOVICE,INTERMEDIATE,LARGE,6181000,WARM,84
REFERRAL,USA,53,MALE,BACHELOR,BUSINESSMAN,MANUFACTURING,176000,POSITIVE,No,5,2,NOVICE,ADVANCED,LARGE,6758000,HOT,95
INBOUND,Canada,51,OTHER,COLLEGE,SELF-EMPLOYED,SERVICES,195000,POSITIVE,No,3,3,INTERMEDIATE,ADVANCED,LARGE,6724000,HOT,98
PAID,USA,59,OTHER,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,175000,POSITIVE,No,4,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,8892000,HOT,95
INBOUND,Canada,47,MALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,141000,POSITIVE,No,7,2,ADVANCED,NOVICE,LARGE,3024000,HOT,96
INBOUND,UK,59,MALE,COLLEGE,RETIRED,SERVICES,193000,POSITIVE,No,6,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,5069000,HOT,91
PAID,Australia,55,MALE,BACHELOR,BUSINESSMAN,SERVICES,142000,POSITIVE,No,3,2,ADVANCED,NOVICE,MEDIUM,1616000,HOT,91
REFERRAL,Australia,51,MALE,BACHELOR,BUSINESSMAN,RETAIL,103000,POSITIVE,No,6,3,NOVICE,INTERMEDIATE,LARGE,9205000,WARM,83
PAID,Japan,56,FEMALE,BACHELOR,RETIRED,MANUFACTURING,193000,POSITIVE,No,5,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,1879000,HOT,91
PAID,Japan,54,OTHER,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,188000,POSITIVE,No,5,3,INTERMEDIATE,ADVANCED,LARGE,4221000,HOT,85
REFERRAL,UK,45,OTHER,BACHELOR,BUSINESSMAN,SERVICES,175000,POSITIVE,No,6,3,NOVICE,ADVANCED,LARGE,4629000,WARM,75
PAID,Australia,51,FEMALE,BACHELOR,BUSINESSMAN,MANUFACTURING,159000,POSITIVE,No,4,2,INTERMEDIATE,INTERMEDIATE,LARGE,3994000,HOT,79
REFERRAL,UK,48,OTHER,BACHELOR,RETIRED,RETAIL,100000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,LARGE,8614000,HOT,92
INBOUND,Canada,45,OTHER,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,182000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,7350000,HOT,82
INBOUND,Australia,54,FEMALE,COLLEGE,SELF-EMPLOYED,RETAIL,167000,POSITIVE,No,3,2,NOVICE,INTERMEDIATE,MEDIUM,3613000,HOT,90
REFERRAL,Australia,48,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,171000,POSITIVE,No,6,2,INTERMEDIATE,NOVICE,MEDIUM,5407000,HOT,80
REFERRAL,Japan,47,FEMALE,BACHELOR,BUSINESSMAN,RETAIL,104000,POSITIVE,No,4,3,ADVANCED,INTERMEDIATE,MEDIUM,9148000,HOT,99
INBOUND,Japan,54,OTHER,COLLEGE,BUSINESSMAN,MANUFACTURING,185000,POSITIVE,No,7,3,ADVANCED,ADVANCED,LARGE,6497000,HOT,88
PAID,UK,56,MALE,COLLEGE,BUSINESSMAN,RETAIL,198000,POSITIVE,No,4,3,NOVICE,ADVANCED,LARGE,7029000,HOT,79
PAID,Australia,48,OTHER,BACHELOR,BUSINESSMAN,SERVICES,185000,POSITIVE,No,3,3,ADVANCED,ADVANCED,MEDIUM,8289000,HOT,81
INBOUND,USA,58,OTHER,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,175000,POSITIVE,No,6,3,INTERMEDIATE,ADVANCED,LARGE,2455000,HOT,97
INBOUND,Canada,53,FEMALE,COLLEGE,RETIRED,RETAIL,181000,POSITIVE,No,7,3,INTERMEDIATE,ADVANCED,MEDIUM,8230000,HOT,90
REFERRAL,UK,54,OTHER,BACHELOR,RETIRED,MANUFACTURING,173000,POSITIVE,No,3,2,ADVANCED,INTERMEDIATE,LARGE,2503000,HOT,76
REFERRAL,USA,56,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,169000,POSITIVE,No,7,2,ADVANCED,NOVICE,MEDIUM,8638000,WARM,75
INBOUND,Japan,49,MALE,BACHELOR,RETIRED,SERVICES,128000,POSITIVE,No,6,2,ADVANCED,ADVANCED,MEDIUM,3736000,WARM,79
INBOUND,Australia,54,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,129000,POSITIVE,No,4,2,INTERMEDIATE,ADVANCED,MEDIUM,2093000,WARM,76
INBOUND,Japan,53,MALE,BACHELOR,SELF-EMPLOYED,RETAIL,121000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,LARGE,7425000,HOT,83
REFERRAL,Canada,55,FEMALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,105000,POSITIVE,No,4,3,NOVICE,ADVANCED,LARGE,1484000,WARM,83
INBOUND,UK,59,OTHER,COLLEGE,RETIRED,RETAIL,132000,POSITIVE,No,3,2,INTERMEDIATE,NOVICE,MEDIUM,4993000,HOT,99
REFERRAL,Japan,54,FEMALE,COLLEGE,RETIRED,MANUFACTURING,116000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,LARGE,2090000,HOT,99
REFERRAL,USA,52,OTHER,HIGH SCHOOL,RETIRED,MANUFACTURING,161000,POSITIVE,No,3,3,INTERMEDIATE,ADVANCED,MEDIUM,5275000,WARM,79
REFERRAL,UK,53,FEMALE,BACHELOR,BUSINESSMAN,MANUFACTURING,145000,POSITIVE,No,7,3,ADVANCED,INTERMEDIATE,MEDIUM,9875000,HOT,89
PAID,Australia,53,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,159000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,LARGE,9425000,HOT,79
REFERRAL,UK,47,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,118000,POSITIVE,No,3,2,INTERMEDIATE,NOVICE,LARGE,2948000,WARM,76
PAID,UK,47,OTHER,HIGH SCHOOL,BUSINESSMAN,SERVICES,186000,POSITIVE,No,3,2,NOVICE,ADVANCED,LARGE,2243000,HOT,77
PAID,USA,46,MALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,140000,POSITIVE,No,6,2,INTERMEDIATE,NOVICE,MEDIUM,1385000,HOT,86
INBOUND,USA,48,OTHER,BACHELOR,SELF-EMPLOYED,SERVICES,128000,POSITIVE,No,5,2,ADVANCED,NOVICE,MEDIUM,4948000,WARM,76
INBOUND,Japan,50,MALE,BACHELOR,SELF-EMPLOYED,MANUFACTURING,173000,POSITIVE,No,4,2,INTERMEDIATE,ADVANCED,LARGE,1792000,HOT,97
INBOUND,Japan,56,MALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,133000,POSITIVE,No,6,3,ADVANCED,INTERMEDIATE,LARGE,5350000,HOT,93
REFERRAL,UK,54,FEMALE,COLLEGE,RETIRED,SERVICES,182000,POSITIVE,No,5,2,ADVANCED,ADVANCED,LARGE,3017000,HOT,91
PAID,Japan,45,OTHER,HIGH SCHOOL,RETIRED,RETAIL,167000,POSITIVE,No,6,2,NOVICE,NOVICE,LARGE,8872000,HOT,83
PAID,USA,59,FEMALE,COLLEGE,SELF-EMPLOYED,MANUFACTURING,108000,POSITIVE,No,3,3,ADVANCED,ADVANCED,LARGE,2221000,HOT,89
REFERRAL,Canada,52,FEMALE,BACHELOR,BUSINESSMAN,MANUFACTURING,172000,POSITIVE,No,3,2,NOVICE,NOVICE,LARGE,5358000,HOT,86
INBOUND,Canada,57,FEMALE,COLLEGE,RETIRED,RETAIL,143000,POSITIVE,No,4,2,INTERMEDIATE,NOVICE,MEDIUM,1867000,HOT,94
PAID,Australia,46,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,153000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,LARGE,4669000,HOT,91
PAID,Australia,48,MALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,104000,POSITIVE,No,7,3,ADVANCED,ADVANCED,MEDIUM,3595000,HOT,93
REFERRAL,UK,45,OTHER,BACHELOR,SELF-EMPLOYED,MANUFACTURING,112000,POSITIVE,No,6,2,INTERMEDIATE,NOVICE,MEDIUM,3237000,HOT,95
REFERRAL,Australia,50,FEMALE,COLLEGE,BUSINESSMAN,MANUFACTURING,189000,POSITIVE,No,7,3,NOVICE,INTERMEDIATE,MEDIUM,1687000,WARM,84
PAID,Canada,55,MALE,BACHELOR,SELF-EMPLOYED,SERVICES,142000,POSITIVE,No,6,2,INTERMEDIATE,NOVICE,MEDIUM,1538000,HOT,97
REFERRAL,Australia,48,FEMALE,BACHELOR,RETIRED,MANUFACTURING,112000,POSITIVE,No,5,2,ADVANCED,NOVICE,LARGE,1319000,WARM,80
PAID,Australia,51,OTHER,BACHELOR,BUSINESSMAN,RETAIL,115000,POSITIVE,No,6,2,ADVANCED,ADVANCED,MEDIUM,4612000,HOT,97
REFERRAL,USA,55,OTHER,HIGH SCHOOL,RETIRED,SERVICES,187000,POSITIVE,No,7,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,2731000,WARM,76
REFERRAL,Japan,57,OTHER,BACHELOR,BUSINESSMAN,RETAIL,116000,POSITIVE,No,7,2,NOVICE,ADVANCED,LARGE,5948000,WARM,77
INBOUND,Canada,52,MALE,COLLEGE,BUSINESSMAN,RETAIL,108000,POSITIVE,No,5,3,ADVANCED,ADVANCED,MEDIUM,9953000,WARM,82
REFERRAL,UK,50,FEMALE,BACHELOR,RETIRED,SERVICES,163000,POSITIVE,No,3,2,INTERMEDIATE,INTERMEDIATE,LARGE,6148000,HOT,81
PAID,UK,48,MALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,140000,POSITIVE,No,4,2,NOVICE,INTERMEDIATE,LARGE,5414000,HOT,75
PAID,Canada,56,MALE,HIGH SCHOOL,RETIRED,MANUFACTURING,153000,POSITIVE,No,5,2,ADVANCED,ADVANCED,LARGE,7922000,HOT,95
REFERRAL,Australia,50,MALE,BACHELOR,RETIRED,RETAIL,158000,POSITIVE,No,3,2,INTERMEDIATE,ADVANCED,LARGE,5369000,HOT,88
INBOUND,UK,59,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,187000,POSITIVE,No,4,3,INTERMEDIATE,ADVANCED,LARGE,9378000,HOT,89
INBOUND,Australia,55,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,182000,POSITIVE,No,5,2,INTERMEDIATE,INTERMEDIATE,LARGE,5221000,HOT,93
INBOUND,Australia,51,MALE,BACHELOR,BUSINESSMAN,RETAIL,135000,POSITIVE,No,6,2,INTERMEDIATE,ADVANCED,LARGE,2296000,HOT,78
REFERRAL,Australia,51,FEMALE,BACHELOR,RETIRED,RETAIL,140000,POSITIVE,No,6,2,ADVANCED,NOVICE,LARGE,8225000,HOT,97
REFERRAL,Australia,57,OTHER,HIGH SCHOOL,BUSINESSMAN,RETAIL,144000,POSITIVE,No,5,3,ADVANCED,ADVANCED,MEDIUM,5140000,HOT,77
REFERRAL,Japan,57,FEMALE,COLLEGE,SELF-EMPLOYED,MANUFACTURING,105000,POSITIVE,No,7,3,NOVICE,ADVANCED,MEDIUM,4201000,HOT,76
REFERRAL,USA,58,MALE,BACHELOR,RETIRED,SERVICES,168000,POSITIVE,No,5,2,NOVICE,NOVICE,LARGE,7328000,HOT,93
REFERRAL,Canada,51,OTHER,COLLEGE,SELF-EMPLOYED,RETAIL,100000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,LARGE,2990000,WARM,78
PAID,Japan,51,OTHER,BACHELOR,BUSINESSMAN,RETAIL,151000,POSITIVE,No,7,2,INTERMEDIATE,ADVANCED,LARGE,8343000,HOT,98
INBOUND,UK,48,OTHER,COLLEGE,RETIRED,SERVICES,171000,POSITIVE,No,4,3,INTERMEDIATE,NOVICE,LARGE,1284000,WARM,85
PAID,Japan,52,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,177000,POSITIVE,No,4,2,ADVANCED,INTERMEDIATE,LARGE,2495000,HOT,87
PAID,Australia,58,OTHER,COLLEGE,BUSINESSMAN,MANUFACTURING,134000,POSITIVE,No,5,3,INTERMEDIATE,ADVANCED,MEDIUM,4755000,WARM,80
